Point,Northing,Easting,HAE,Code
1,5466577.711,364604.706,275.553,P
2,5466576.602,364604.06,275.745,P
3,5466575.654,364603.669,275.779,P
4,5466575.054,364603.279,275.848,P
5,5466568.895,364601.184,277.035,M
6,5466565.232,364599.615,278.663,P
7,5466565.202,364599.761,278.728,P
8,5466564.776,364599.564,278.803,P
9,5466564.354,364599.694,278.625,P
10,5466563.119,364599.476,278.478,P
11,5466562.161,364598.991,278.197,P
12,5466561.36,364598.844,278.006,P
13,5466560.438,364598.548,277.766,P
14,5466559.529,364598.604,277.47,P
15,5466558.484,364598.56,277.145,P
16,5466557.458,364598.733,276.821,P
17,5466556.944,364598.293,276.634,P
18,5466555.756,364597.79,276.182,P
19,5466554.635,364597.704,275.852,P
20,5466553.376,364597.553,275.428,P
21,5466552.261,364597.351,275.072,P
