Point,Northing,Easting,HAE,Code
1,5466565.432,364771.664,286.462,P
2,5466564.73,364772.12,286.61,P
3,5466563.705,364772.581,286.431,P
4,5466562.808,364773.027,286.173,P
5,5466561.473,364773.225,285.93,P
6,5466560.702,364773.632,285.672,P
7,5466559.922,364774.008,285.331,P
8,5466558.96,364774.075,284.646,P
9,5466557.826,364774.379,284.407,P
10,5466556.794,364774.559,284.516,P
11,5466555.723,364774.607,284.357,P
12,5466554.929,364774.965,284.107,P
13,5466554.036,364775.18,283.975,P
14,5466552.875,364775.531,283.971,P
15,5466552.437,364775.801,284.008,P
16,5466547.476,364774.381,283.822,M
17,5466546.042,364773.332,284.368,P
18,5466545.931,364773.455,284.275,P
19,5466545.291,364773.91,284.197,P
20,5466544.381,364774.293,284.297,P
21,5466543.451,364774.719,284.272,P
22,5466542.377,364775.008,284.177,P
23,5466541.447,364775.377,284.09,P
24,5466540.457,364775.653,283.86,P
25,5466538.311,364775.82,284.022,P
26,5466537.558,364776.153,283.847,P
27,5466536.719,364776.495,283.699,P
28,5466535.665,364776.921,283.304,P
29,5466534.876,364777.085,283.026,P
30,5466533.73,364777.396,282.722,P
31,5466532.459,364777.562,282.297,P
32,5466531.462,364777.707,281.767,P
33,5466530.43,364777.933,281.304,P
34,5466529.218,364778.377,280.995,P
35,5466527.973,364778.354,280.531,P
36,5466527.026,364778.714,280.081,P
