Point,Northing,Easting,HAE,Code
1,5466565.296,364672.69,287.12,P
2,5466564.912,364672.78,287.285,P
3,5466563.014,364674.081,287.155,P
4,5466561.87,364674.918,286.7,P
5,5466560.468,364675.706,286.153,P
6,5466559.125,364676.229,285.695,P
7,5466557.485,364676.782,285.303,P
8,5466556.149,364677.221,284.836,P
9,5466554.38,364677.555,284.478,P
10,5466553.257,364678.033,283.794,P
11,5466552.434,364678.35,283.49,P
12,5466549.331,364679.264,282.114,P
13,5466547.985,364679.636,281.947,P
14,5466546.707,364679.936,281.408,P
15,5466545.294,364680.18,280.933,P
16,5466543.875,364680.357,280.436,P
17,5466540.007,364680.272,279.559,P
18,5466538.911,364680.217,279.069,P
19,5466537.278,364680.781,278.461,P
20,5466535.28,364680.455,278.034,P
21,5466533.713,364680.463,277.417,P
22,5466532.415,364680.751,276.883,P
23,5466530.996,364680.998,276.73,P
24,5466530.185,364681.077,276.671,P
25,5466527.783,364681.527,276.493,M
26,5466525.544,364682.139,276.569,P
27,5466524.77,364682.413,276.511,P
28,5466524.091,364682.627,276.447,P
29,5466520.234,364684.907,275.943,P
30,5466519.318,364685.396,275.679,P
31,5466517.111,364686.916,274.87,P
32,5466515.848,364687.501,274.532,P
33,5466515.177,364687.881,274.206,P
