Point,Northing,Easting,HAE,Code
1,5466689.172,364430.8632,275.0634,P
2,5466688.685,364429.9553,275.0947,P
3,5466688.51,364430.4828,275.1509,P
4,5466687.957,364430.0148,275.1158,P
5,5466687.246,364429.8661,275.3312,P
6,5466686.566,364429.7581,275.2676,P
7,5466685.726,364429.8716,274.9513,P
8,5466686.52,364427.4627,275.2801,M
9,5466688.788,364424.9876,276.262,P
10,5466687.975,364424.8932,276.4778,P
11,5466687.144,364424.7313,276.3725,P
12,5466686.359,364424.546,276.3094,P
13,5466685.495,364424.5063,276.3313,P
14,5466684.543,364424.398,276.2615,P
