Point,Northing,Easting,HAE,Code
1,5466621.318,364539.094,279.535,P
2,5466620.603,364537.967,279.393,P
3,5466618.389,364537.364,278.594,P
4,5466616.844,364537.556,278.316,P
5,5466615.665,364537.132,277.871,P
6,5466614.871,364536.626,277.544,P
7,5466610.462,364531.724,280.503,M
8,5466608.346,364528.975,282.686,P
9,5466608.058,364527.793,283.077,P
10,5466607.472,364526.975,283.211,P
11,5466604.314,364525.465,282.639,P
12,5466603.836,364524.939,282.57,P
13,5466603.118,364523.874,282.015,P
14,5466602.315,364522.991,281.675,P
15,5466601.902,364522.304,281.264,P
16,5466600.561,364521.059,280.405,P
17,5466599.724,364520.846,280.126,P
18,5466598.985,364520.24,279.916,P
19,5466598.439,364519.526,279.45,P
20,5466597.628,364518.972,279.015,P
21,5466596.831,364518.307,278.561,P
22,5466595.666,364517.784,277.978,P
23,5466594.347,364516.604,277.446,P
24,5466593.623,364516.319,276.817,P
