Point,Northing,Easting,HAE,Code
1,5486332.454,346863.3435,593.0780105,P
2,5486330.71,346860.2521,592.3143059,P
3,5486327.639,346858.1808,591.1235492,P
4,5486324.573,346855.1553,589.7605743,P
5,5486321.869,346853.0125,588.5924708,P
6,5486319.895,346851.6811,588.0055987,P
7,5486316.309,346849.9004,586.6814393,P
8,5486313.605,346847.7578,585.8670557,P
9,5486312.138,346846.2893,585.3474334,P
10,5486311.61,346844.123,584.9990915,M
11,5486311.085,346841.5578,584.7021058,P
12,5486308.943,346838.7723,583.9862525,P
13,5486306.448,346835.941,582.9249357,P
14,5486303.905,346834.034,582.2917728,P
15,5486301.897,346830.7648,581.3487114,P
16,5486299.712,346827.759,580.2610314,P
17,5486297.106,346823.8627,579.357143,P
18,5486293.178,346820.8146,578.4714101,P
19,5486290.436,346818.9651,577.5559692,P
20,5486287.242,346816.0125,576.4352842,P
21,5486283.046,346811.5867,574.4705161,P
22,5486281.325,346807.6331,572.7152402,P
23,5486279.329,346803.4945,570.6839406,P
24,5486278.43,346800.0957,569.4716154,P
25,5486276.887,346797.0604,567.9077267,P
26,5486276.431,346793.2418,566.4385599,P
