Point,Northing,Easting,HAE,Code
1,5466582.055,364740.069,286.716,P
2,5466583.442,364740.211,287.472,P
3,5466584.58,364740.379,288.191,P
4,5466585.876,364739.885,288.685,P
5,5466586.611,364740.002,289.147,P
6,5466587.557,364740.06,289.542,P
7,5466588.404,364740.104,290.061,P
8,5466589.175,364740.302,290.538,P
9,5466590.18,364740.379,290.901,P
10,5466591.441,364740.559,291.246,P
11,5466593.722,364740.836,292.176,P
12,5466570.5,364736.079,283.611,M
13,5466568.79,364733.028,284.602,P
14,5466567.956,364733.47,284.326,P
15,5466567.228,364733.619,284.175,P
16,5466566.201,364733.967,283.767,P
17,5466565.008,364734.311,283.345,P
18,5466563.903,364734.341,283.084,P
19,5466562.855,364734.301,282.658,P
20,5466562.017,364734.445,282.333,P
21,5466561.008,364734.603,282.018,P
22,5466560.114,364734.644,281.856,P
23,5466559.274,364734.663,281.554,P
24,5466558.659,364734.734,281.392,P
