Point,Northing,Easting,HAE,Code
1,5466722.644,364385.3991,276.0729,P
2,5466721.822,364385.1273,275.8591,P
3,5466721.082,364384.887,275.8597,P
4,5466720.334,364384.7206,275.6365,P
5,5466716.105,364383.3113,274.6894,P
6,5466715.361,364383.0105,274.5233,P
7,5466714.791,364382.8278,274.4872,P
8,5466714.14,364382.5363,274.502,P
9,5466713.179,364382.2125,274.3976,P
10,5466710.619,364380.1181,274.4242,M
11,5466707.7,364377.6245,275.2305,P
12,5466706.92,364377.0693,275.2469,P
13,5466706.521,364376.5381,274.9853,P
14,5466702.219,364373.4702,273.5301,P
15,5466701.145,364372.7217,273.1341,P
16,5466700.35,364371.9873,272.7737,P
17,5466699.696,364371.6879,272.6046,P
18,5466699.072,364371.1299,272.325,P
19,5466698.478,364370.6156,271.9765,P
20,5466697.764,364370.2615,271.6914,P
21,5466696.811,364369.847,271.3969,P
22,5466695.908,364369.155,271.0654,P
23,5466695.003,364368.2481,270.8316,P
