Point,Northing,Easting,HAE,Code
1,5486122.953,347003.1312,567.8751,P
2,5486121.288,347003.4605,567.4177,P
3,5486119.948,347003.4919,567.0739,P
4,5486118.957,347003.9945,566.7997,P
5,5486117.821,347003.9578,566.373,P
6,5486116.663,347003.4611,566.0755,P
7,5486115.556,347003.6361,565.8481,P
8,5486114.265,347003.8957,565.8204,P
9,5486113.236,347004.1086,565.6973,P
10,5486111.947,347003.6335,565.7603,M
11,5486111.358,347002.6673,565.6839,P
12,5486110.115,347002.7373,565.4514,P
13,5486106.419,347003.759,564.7337,P
14,5486105.319,347004.1063,564.5594,P
15,5486104.542,347004.4995,564.4087,P
16,5486102.936,347005.3646,564.3085,P
17,5486102.03,347005.4307,563.9632,P
18,5486101.509,347005.8319,563.8101,P
19,5486100.256,347005.9969,563.6057,P
20,5486099.634,347006.4478,563.5441,P
21,5486098.709,347006.7997,563.3991,P
22,5486097.472,347006.7289,563.1873,P
23,5486096.435,347006.9981,562.942,P
