Point,Northing,Easting,HAE,Code
1,5466599.363,364642.752,289.096,P
2,5466598.486,364642.448,288.711,P
3,5466597.72,364642.135,288.536,P
4,5466597.015,364642.019,288.151,P
5,5466596.509,364641.932,287.862,P
6,5466595.534,364641.743,287.525,P
7,5466594.812,364641.767,287.423,P
8,5466593.839,364641.888,286.869,P
9,5466593.058,364641.722,286.626,P
10,5466591.895,364641.385,286.29,P
11,5466590.601,364641.212,285.705,P
12,5466589.619,364641.55,285.42,P
13,5466588.13,364641.309,284.564,P
14,5466587.207,364641.297,284.113,P
15,5466586.35,364641.15,283.695,P
16,5466585.396,364641.149,283.191,P
17,5466584.391,364641.038,282.864,P
18,5466583.578,364641.097,282.574,P
19,5466582.659,364641.537,282.067,P
20,5466582.043,364641.326,281.61,P
21,5466581.155,364641.605,281.233,P
22,5466580.463,364641.544,280.826,P
23,5466579.594,364641.148,280.509,P
24,5466576.131,364638.509,281.08,M
25,5466573.554,364636.215,282.632,P
26,5466573.075,364636.557,282.798,P
27,5466571.634,364635.953,282.631,P
28,5466570.623,364635.581,282.444,P
29,5466569.522,364635.119,282.316,P
30,5466568.731,364634.612,282.068,P
31,5466567.571,364634.027,281.823,P
32,5466566.958,364633.521,281.585,P
33,5466566.281,364632.672,281.06,P
34,5466565.397,364632.272,280.713,P
35,5466564.741,364631.146,280.264,P
36,5466564.039,364630.706,279.845,P
37,5466563.138,364630.079,279.399,P
38,5466562.434,364629.766,279.188,P
39,5466561.974,364629.142,279.012,P
