Point,Northing,Easting,HAE,Code
1,5466629.476,364543.964,280.272,P
2,5466628.226,364543.522,280.036,P
3,5466626.843,364543.236,279.746,P
4,5466625.586,364543.051,279.543,P
5,5466624.542,364542.501,279.393,P
6,5466623.687,364541.993,279.158,P
7,5466622.541,364541.512,278.955,P
8,5466622.1,364540.192,279.063,M
9,5466621.318,364539.094,279.535,P
10,5466620.603,364537.967,279.393,P
11,5466618.389,364537.364,278.594,P
12,5466616.844,364537.556,278.316,P
13,5466615.665,364537.132,277.871,P
14,5466614.871,364536.626,277.544,P
