Point,Northing,Easting,HAE,Code
1,5466751.301,364405.1561,278.3367,P
2,5466750.693,364404.628,278.2432,P
3,5466750.057,364404.1296,278.0664,P
4,5466749.149,364403.617,277.7009,P
5,5466748.306,364402.9081,277.5344,P
6,5466747.097,364402.2485,277.3527,P
7,5466746.021,364401.7131,277.2845,P
8,5466745.073,364401.2474,277.1789,P
9,5466744.029,364400.7478,276.9682,P
10,5466743.265,364400.3155,276.8436,P
11,5466742.233,364399.8964,276.6287,P
12,5466741.19,364399.1818,276.5739,P
13,5466740.059,364398.8722,276.6809,P
14,5466737.156,364396.5309,277.0891,M
15,5466736.078,364394.6474,277.3402,P
16,5466735.136,364394.3716,277.561,P
17,5466732.04,364393.3303,277.3185,P
18,5466730.703,364392.6675,276.9711,P
19,5466729.934,364392.4693,276.8167,P
20,5466728.721,364391.9808,276.9693,P
21,5466727.597,364391.3226,276.7458,P
22,5466726.737,364390.6818,276.6835,P
