Point,Northing,Easting,HAE,Code
1,5486236.143,346967.8375,598.879,P
2,5486235.331,346967.3693,598.8837,P
3,5486234.524,346966.9091,598.716,P
4,5486233.512,346966.3249,598.7685,P
5,5486232.515,346965.7495,598.6049,P
6,5486231.811,346965.3431,598.5152,P
7,5486231.053,346964.9049,598.4289,P
8,5486229.973,346964.2815,598.316,P
9,5486229.212,346963.8504,598.1592,P
10,5486228.339,346963.3454,597.8812,P
11,5486227.525,346962.8747,597.724,P
12,5486226.871,346962.4965,597.413,P
13,5486226.391,346962.219,597.2565,P
14,5486225.852,346961.9067,597.0003,P
15,5486225.338,346961.6097,596.9457,S
16,5486224.374,346961.0491,597.3245,S
17,5486223.372,346960.4706,598.054,M
18,5486222.785,346960.1317,598.2769,S
19,5486222.289,346959.8455,598.5552,S
20,5486221.677,346959.492,598.8574,S
21,5486221.259,346959.2505,598.9245,S
22,5486219.91,346958.4716,599.0728,P
23,5486219.295,346958.1162,599.1176,P
24,5486218.661,346957.7497,598.9837,P
25,5486217.954,346957.3417,598.9897,P
26,5486217.151,346956.8777,599.0664,P
27,5486216.265,346956.3635,598.9646,P
28,5486215.3,346955.8056,598.7888,P
29,5486214.426,346955.3006,598.5195,P
30,5486213.616,346954.8322,598.2722,P
31,5486212.759,346954.3371,598.1774,P
32,5486211.739,346953.7472,597.9761,P
33,5486210.921,346953.2741,597.7784,P
34,5486209.876,346952.6702,597.5434,P
35,5486209.098,346952.2203,597.2678,P
36,5486208.518,346951.8852,597.1393,P
37,5486207.625,346951.3689,596.8783,P
38,5486205.981,346950.4187,596.5913,P
39,5486205.048,346949.8795,596.2346,P
40,5486204.52,346949.5737,596.1044,P
41,5486203.474,346948.9692,595.8069,P
42,5486202.139,346948.1972,595.3386,P
43,5486201.237,346947.6761,595.3094,P
44,5486200.07,346947.0011,595.0137,P
45,5486199.341,346946.5799,594.6772,P
