Point,Northing,Easting,HAE,Code
1,5466595.885,364575.974,276.466,P
2,5466595.554,364575.666,276.584,P
3,5466595.292,364575.451,276.629,P
4,5466594.959,364575.286,276.662,P
5,5466594.624,364575.187,276.625,P
6,5466594.18,364574.945,276.632,P
7,5466593.919,364574.685,276.594,P
8,5466593.658,364574.56,276.462,P
9,5466586.772,364569.761,278.874,M
10,5466582.668,364567.707,280.739,P
11,5466582.029,364567.493,280.791,P
12,5466581.47,364567.401,280.661,P
13,5466580.063,364567.04,280.365,P
14,5466579.295,364566.781,280.014,P
15,5466578.46,364566.88,279.865,P
16,5466578.01,364566.677,279.722,P
17,5466575.741,364565.757,278.766,P
18,5466574.569,364565.139,277.983,P
19,5466573.768,364564.942,277.888,P
20,5466572.68,364564.98,277.414,P
21,5466571.916,364564.742,276.864,P
22,5466571.09,364564.425,276.689,P
23,5466570.327,364563.912,276.234,P
24,5466569.137,364563.194,275.456,P
25,5466568.644,364562.839,275.2,P
26,5466568.147,364562.551,274.851,P
27,5466567.514,364562.183,274.507,P
28,5466566.765,364561.856,274.051,P
29,5466564.016,364560.628,272.742,P
30,5466563.242,364559.775,272.211,P
31,5466562.519,364559.377,271.581,P
32,5466561.845,364558.902,271.383,P
