Point,Northing,Easting,HAE,Code
1,5466651.812,364558.586,285.664,P
2,5466650.482,364558.555,285.079,P
3,5466649.498,364558.192,284.713,P
4,5466647.896,364557.497,284.169,P
5,5466646.771,364557.044,283.946,P
6,5466641.252,364557.71,282.449,P
7,5466640.468,364557.34,282.206,P
8,5466639.589,364557.205,282.011,P
9,5466638.738,364557.152,281.88,P
10,5466638.108,364557.298,281.658,P
11,5466637.225,364556.805,281.499,P
12,5466632.831,364557.19,280.769,P
13,5466631.988,364556.823,280.651,P
14,5466631.067,364556.597,280.441,P
15,5466630.195,364556.561,280.324,P
16,5466629.405,364556.142,280.056,P
17,5466628.401,364556.387,279.799,P
18,5466627.691,364556.331,279.479,P
19,5466626.818,364555.83,279.279,P
20,5466626.203,364555.28,279.066,P
21,5466624.976,364554.826,278.746,P
22,5466623.835,364554.587,278.667,P
23,5466622.901,364554.312,278.587,P
24,5466621.483,364554.404,278.417,P
25,5466620.583,364554.403,278.345,P
26,5466618.24,364551.274,277.857,M
27,5466616.75,364548.635,277.098,P
28,5466615.827,364548.422,276.998,P
29,5466614.441,364547.905,276.983,P
30,5466613.499,364547.896,277.111,P
