Point,Northing,Easting,HAE,Code
1,5466591.066,364769.203,288.949,P
2,5466590.207,364769.027,288.758,P
3,5466589.377,364769.083,288.537,P
4,5466588.665,364768.982,288.262,P
5,5466587.825,364769.024,287.954,P
6,5466586.987,364769.17,287.8,P
7,5466585.98,364769.102,287.527,P
8,5466585.034,364769.137,287.193,P
9,5466584.085,364769.154,287.023,P
10,5466582.946,364769.271,286.801,P
11,5466582.065,364769.328,286.697,P
12,5466581.329,364769.386,286.58,P
13,5466580.409,364769.41,286.378,P
14,5466579.582,364769.517,286.229,P
15,5466578.67,364769.524,286.118,P
16,5466577.83,364769.8,286.049,P
17,5466576.805,364770.031,286.038,P
18,5466575.961,364770.784,285.862,P
19,5466574.83,364771.151,285.504,P
20,5466573.91,364771.6,285.192,P
21,5466573.076,364771.941,285.253,P
22,5466571.981,364772.068,285.248,P
23,5466570.719,364772.259,285.225,P
24,5466567.304,364772.487,285.913,M
25,5466565.432,364771.664,286.462,P
26,5466564.73,364772.12,286.61,P
27,5466563.705,364772.581,286.431,P
28,5466562.808,364773.027,286.173,P
29,5466561.473,364773.225,285.93,P
30,5466560.702,364773.632,285.672,P
31,5466559.922,364774.008,285.331,P
32,5466558.96,364774.075,284.646,P
33,5466557.826,364774.379,284.407,P
34,5466556.794,364774.559,284.516,P
35,5466555.723,364774.607,284.357,P
36,5466554.929,364774.965,284.107,P
37,5466554.036,364775.18,283.975,P
38,5466552.875,364775.531,283.971,P
39,5466552.437,364775.801,284.008,P
