Point,Northing,Easting,HAE,Code
1,5466600.714,364690.471,283.37,P
2,5466599.587,364691.036,283.03,P
3,5466598.393,364691.854,282.408,P
4,5466597.869,364692.416,282.052,P
5,5466597.063,364692.892,281.634,P
6,5466595.783,364693.353,281.112,P
7,5466594.778,364693.517,280.77,P
8,5466593.744,364693.76,280.374,P
9,5466592.557,364694.225,280.12,P
10,5466591.824,364694.564,279.737,P
11,5466591.093,364695.28,279.387,P
12,5466590.107,364695.884,278.959,P
13,5466589.233,364696.082,278.658,P
14,5466588.387,364696.601,278.413,P
15,5466586.51,364697.594,277.729,P
16,5466585.86,364697.963,277.469,P
17,5466585.116,364698.456,277.164,P
18,5466584.402,364698.896,276.825,P
19,5466583.643,364699.153,276.436,P
20,5466582.564,364699.404,276.074,P
21,5466581.386,364700.033,275.651,P
22,5466580.162,364700.368,275.354,P
23,5466579.439,364700.532,274.921,P
24,5466578.441,364700.801,274.606,P
25,5466577.289,364700.885,274.395,P
26,5466575.956,364701.141,273.819,P
27,5466575.408,364701.353,273.661,P
28,5466573.964,364701.878,273.293,P
29,5466572.918,364702.36,273.024,P
30,5466569.225,364703.218,272.292,P
31,5466568.084,364703.686,272.123,P
32,5466567.067,364704.037,272.015,P
33,5466566.344,364704.29,271.955,P
34,5466561.979,364704.999,273.863,M
35,5466557.758,364705.035,274.827,P
36,5466556.217,364704.673,274.557,P
37,5466554.988,364704.427,274.339,P
38,5466553.875,364704.413,273.993,P
39,5466552.835,364704.703,273.63,P
40,5466551.626,364704.914,273.334,P
41,5466550.73,364705.012,273.076,P
42,5466549.773,364705.121,272.745,P
43,5466548.758,364705.071,272.43,P
44,5466547.794,364705.517,272.207,P
45,5466547.026,364705.609,271.942,P
46,5466545.886,364705.69,271.62,P
47,5466544.552,364705.723,271.265,P
48,5466543.723,364705.616,270.972,P
49,5466542.824,364705.119,270.647,P
50,5466541.892,364705.189,270.41,P
51,5466541.026,364705.14,270.117,P
52,5466540.249,364705.203,269.875,P
53,5466539.39,364705.13,269.722,P
54,5466538.484,364705.17,269.524,P
55,5466537.555,364705.183,269.261,P
56,5466536.442,364705.44,268.823,P
57,5466535.406,364705.332,268.592,P
58,5466534.483,364706.567,268.177,P
59,5466533.495,364706.391,267.946,P
60,5466532.136,364706.687,267.493,P
61,5466531.165,364706.747,267.375,P
62,5466530.261,364706.721,267.248,P
63,5466529.147,364707.249,266.929,P
64,5466528.634,364707.547,266.799,P
65,5466528.008,364707.609,266.648,P
66,5466527.342,364707.65,266.435,P
67,5466526.531,364707.873,266.366,P
