Point,Northing,Easting,HAE,Code
1,5466582.991,364669.262,285.533,P
2,5466576.332,364672.276,284.103,P
3,5466575.153,364672.674,283.886,P
4,5466573.834,364672.961,283.666,P
5,5466573.093,364673.163,283.435,P
6,5466572.374,364673.182,283.303,P
7,5466568.91,364672.863,284.82,M
8,5466565.296,364672.69,287.12,P
9,5466564.912,364672.78,287.285,P
10,5466563.014,364674.081,287.155,P
11,5466561.87,364674.918,286.7,P
12,5466560.468,364675.706,286.153,P
13,5466559.125,364676.229,285.695,P
14,5466557.485,364676.782,285.303,P
15,5466556.149,364677.221,284.836,P
16,5466554.38,364677.555,284.478,P
17,5466553.257,364678.033,283.794,P
18,5466552.434,364678.35,283.49,P
19,5466549.331,364679.264,282.114,P
20,5466547.985,364679.636,281.947,P
21,5466546.707,364679.936,281.408,P
22,5466545.294,364680.18,280.933,P
23,5466543.875,364680.357,280.436,P
24,5466540.007,364680.272,279.559,P
25,5466538.911,364680.217,279.069,P
26,5466537.278,364680.781,278.461,P
27,5466535.28,364680.455,278.034,P
28,5466533.713,364680.463,277.417,P
29,5466532.415,364680.751,276.883,P
30,5466530.996,364680.998,276.73,P
31,5466530.185,364681.077,276.671,P
