Point,Northing,Easting,HAE,Code
1,5466711.259,364450.2318,276.5236,P
2,5466710.679,364449.6224,276.555,P
3,5466710.079,364448.9849,276.5796,P
4,5466709.366,364448.4236,276.4524,P
5,5466708.429,364447.8049,276.3326,P
6,5466707.371,364446.8761,276.4034,P
7,5466706.721,364446.0445,276.2501,P
8,5466705.818,364445.2276,276.132,P
9,5466705.211,364444.7335,276.1162,P
10,5466704.389,364444.1561,276.0426,P
11,5466703.632,364443.5565,275.8892,P
12,5466702.999,364442.9002,275.7115,P
13,5466700.736,364439.8304,274.9937,P
14,5466700.068,364439.2934,274.7414,P
15,5466699.505,364438.7746,274.5241,P
16,5466698.72,364438.1606,274.225,P
17,5466698.042,364437.629,273.8076,P
18,5466697.436,364437.1668,273.5575,P
19,5466696.835,364436.6542,273.3802,P
20,5466696.272,364435.8746,273.1238,P
21,5466695.538,364435.1877,272.7336,P
22,5466691.475,364432.8784,273.8531,M
23,5466689.172,364430.8632,275.0634,P
24,5466688.685,364429.9553,275.0947,P
25,5466688.51,364430.4828,275.1509,P
26,5466687.957,364430.0148,275.1158,P
27,5466687.246,364429.8661,275.3312,P
28,5466686.566,364429.7581,275.2676,P
29,5466685.726,364429.8716,274.9513,P
