Point,Northing,Easting,HAE,Code
1,5467748.58,363296.3517,294.5387,P
2,5467748.26,363295.3829,294.2053,P
3,5467747.844,363294.6162,293.7559,P
4,5467747.466,363293.8644,293.3803,P
5,5467747.052,363293.1924,293.0387,P
6,5467746.589,363292.6045,292.7476,P
7,5467746.053,363291.6681,292.2684,P
8,5467745.435,363290.8697,291.7622,P
9,5467745.059,363290.2116,291.2308,P
10,5467744.388,363289.4495,290.7771,P
11,5467744.044,363288.7311,290.3236,P
12,5467743.665,363288.0103,289.9368,P
13,5467743.331,363287.2054,289.6152,P
14,5467742.532,363286.563,289.181,P
15,5467742.212,363285.7879,289.08,P
16,5467740.952,363284.7062,288.9393,M
17,5467738.833,363280.3772,286.7276,P
18,5467738.6,363279.5932,286.351,P
19,5467737.789,363278.5664,285.9816,P
20,5467737.416,363277.5699,285.4621,P
21,5467737.143,363276.8459,284.9316,P
22,5467736.083,363275.3636,283.8721,P
23,5467735.574,363274.7815,283.3584,P
