Point,Northing,Easting,HAE,Code
1,5466591.019,364758.872,287.39,P
2,5466590.365,364758.846,287.31,P
3,5466589.244,364758.826,286.76,P
4,5466588.148,364759.154,286.442,P
5,5466587.404,364759.167,286.206,P
6,5466586.667,364759.218,285.916,P
7,5466585.881,364759.221,285.611,P
8,5466585.311,364759.081,285.325,P
9,5466584.384,364759.05,284.938,P
10,5466583.443,364758.929,284.717,P
11,5466580.74,364758.519,283.764,P
12,5466579.991,364758.044,283.318,P
13,5466579.418,364757.899,283.138,P
14,5466578.403,364757.73,282.835,P
15,5466577.687,364757.589,282.62,P
16,5466576.84,364757.36,282.288,P
17,5466576.079,364757.153,281.981,P
18,5466575.242,364756.962,281.629,P
19,5466574.52,364756.807,281.28,P
20,5466573.65,364756.533,280.818,P
21,5466572.885,364756.066,280.419,P
22,5466569.741,364754.312,279.701,P
23,5466566.205,364752.778,280.621,M
24,5466564.178,364752.581,281.412,P
25,5466563.55,364752.67,281.38,P
26,5466562.697,364752.366,281.295,P
27,5466561.374,364752.052,280.952,P
28,5466560.763,364751.634,280.692,P
29,5466559.788,364751.335,280.345,P
30,5466559.133,364751.129,279.988,P
31,5466558.335,364750.847,279.635,P
32,5466557.658,364750.579,279.195,P
33,5466556.879,364750.098,278.847,P
34,5466556.229,364749.964,278.624,P
35,5466552.975,364749.51,277.39,P
