Point,Northing,Easting,HAE,Code
1,5466679.155,364471.0355,271.0914,P
2,5466677.449,364470.8997,270.9274,P
3,5466676.111,364470.8405,270.6399,P
4,5466674.194,364471.0829,270.5527,P
5,5466672.901,364470.9779,270.1398,P
6,5466671.792,364470.7708,270.0746,P
7,5466670.699,364470.6032,269.8427,P
8,5466669.189,364470.3848,269.5782,P
9,5466667.25,364470.5423,269.5495,P
10,5466666.521,364470.582,269.5454,P
11,5466665.902,364469.2942,269.3822,M
12,5466664.201,364467.5998,269.5821,P
13,5466663.444,364467.4622,269.4052,P
14,5466662.232,364467.3569,269.2493,P
15,5466659.885,364466.6705,268.5758,P
