Point,Northing,Easting,HAE,Code
1,5467755.918,363315.5717,302.2557,P
2,5467755.525,363314.8531,301.7912,P
3,5467755.013,363314.0548,301.4633,P
4,5467754.473,363313.5472,301.3464,P
5,5467754.147,363312.9961,301.111,P
6,5467753.467,363312.6124,300.5012,P
7,5467752.815,363311.9956,300.0768,P
8,5467752.207,363311.446,299.6645,P
9,5467751.747,363310.9109,299.3529,P
10,5467751.114,363310.4939,298.7532,P
11,5467750.182,363309.6714,298.4452,P
12,5467749.534,363309.1923,297.9728,P
13,5467748.834,363308.7173,297.5301,P
14,5467747.523,363307.2004,296.5381,P
15,5467746.715,363306.6209,296.2444,P
16,5467744.368,363304.3139,295.9802,M
17,5467744.243,363303.4189,295.9954,P
18,5467743.396,363302.5039,295.6248,P
19,5467742.731,363301.692,295.51,P
20,5467742.189,363301.0705,295.0762,P
21,5467741.701,363300.3799,294.6326,P
22,5467741.259,363299.8306,294.5892,P
23,5467740.742,363299.0911,294.2312,P
24,5467740.333,363298.3078,293.7788,P
25,5467739.913,363298.0151,293.6151,P
26,5467739.449,363297.4471,293.1274,P
27,5467739.203,363296.8055,292.973,P
28,5467738.969,363296.0876,292.8881,P
29,5467738.553,363295.5838,292.6376,P
30,5467738.306,363294.9489,292.321,P
31,5467738.048,363294.5926,292.1275,P
32,5467737.747,363294.3273,291.9662,P
