Point,Northing,Easting,HAE,Code
1,5466568.79,364733.028,284.602,P
2,5466567.956,364733.47,284.326,P
3,5466567.228,364733.619,284.175,P
4,5466566.201,364733.967,283.767,P
5,5466565.008,364734.311,283.345,P
6,5466563.903,364734.341,283.084,P
7,5466562.855,364734.301,282.658,P
8,5466562.017,364734.445,282.333,P
9,5466561.008,364734.603,282.018,P
10,5466560.114,364734.644,281.856,P
11,5466559.274,364734.663,281.554,P
12,5466558.659,364734.734,281.392,P
13,5466552.826,364733.844,281.681,M
14,5466551.379,364731.914,282.866,P
15,5466550.509,364732.653,282.705,P
16,5466548.967,364733.2,282.306,P
17,5466548.171,364733.256,282.125,P
18,5466547.343,364733.524,281.974,P
19,5466546.22,364733.786,281.627,P
20,5466545.55,364733.942,281.265,P
21,5466544.976,364734.272,280.994,P
22,5466544.191,364734.436,280.83,P
23,5466543.295,364734.566,280.559,P
24,5466542.421,364734.301,280.44,P
25,5466541.723,364734.388,279.99,P
26,5466540.697,364734.199,279.457,P
27,5466539.816,364733.918,278.97,P
28,5466538.431,364733.872,278.534,P
29,5466537.189,364733.763,278.241,P
30,5466536.171,364733.378,277.795,P
31,5466534.957,364733.476,277.359,P
32,5466533.931,364733.238,276.893,P
33,5466531.226,364733.151,275.714,P
34,5466530.319,364732.899,275.251,P
35,5466528.624,364733.111,274.654,P
36,5466528.13,364733.094,274.467,P
37,5466526.975,364733.538,274.268,P
38,5466525.574,364733.426,273.666,P
39,5466524.687,364733.533,273.218,P
40,5466523.713,364733.416,272.724,P
41,5466522.591,364733.287,272.606,P
42,5466521.605,364733.329,272.263,P
43,5466520.466,364733.147,271.736,P
44,5466519.271,364733.173,271.231,P
45,5466518.098,364733.149,270.839,P
46,5466517.169,364733.048,270.447,P
47,5466516.353,364732.992,270.149,P
48,5466515.642,364732.818,269.975,P
