Point,Northing,Easting,HAE,Code
1,5466623.3,364570.962,282.835,P
2,5466622.675,364570.757,282.397,P
3,5466621.8,364570.235,281.975,P
4,5466621.434,364569.989,281.637,P
5,5466620.198,364569.7,281.185,P
6,5466619.274,364569.73,280.763,P
7,5466618.403,364569.484,280.421,P
8,5466617.146,364569.187,279.813,P
9,5466616.501,364568.887,279.394,P
10,5466615.331,364568.458,279.206,P
11,5466611.389,364565.42,278.902,M
12,5466610.325,364562.155,280.023,P
13,5466609.103,364561.774,280.087,P
14,5466608.254,364561.545,280.271,P
15,5466606.686,364561.431,280.573,P
16,5466605.993,364561.558,280.54,P
17,5466605.351,364561.648,280.397,P
