Point,Northing,Easting,HAE,Code
1,5466563.779,364623.699,278.952,P
2,5466562.307,364623.798,279.173,P
3,5466561.073,364623.813,279.34,P
4,5466559.943,364623.768,279.451,P
5,5466559.007,364623.201,279.549,P
6,5466557.856,364623.173,279.591,P
7,5466553.965,364622.571,280.736,M
8,5466552.143,364620.331,281.88,P
9,5466551.074,364619.838,281.816,P
10,5466550.102,364619.69,281.63,P
11,5466548.91,364619.42,281.507,P
12,5466547.498,364618.735,281.095,P
13,5466546.528,364618.628,280.668,P
14,5466545.684,364618.544,280.418,P
15,5466544.548,364618.306,279.985,P
16,5466543.204,364618.1,279.443,P
17,5466542.185,364618.403,279.373,P
18,5466535.549,364617.379,276.681,P
19,5466534.644,364616.925,276.575,P
