Point,Northing,Easting,HAE,Code
1,5466546.54,364843.467,280.537,P
2,5466545.37,364843.524,280.551,P
3,5466544.57,364843.607,280.466,P
4,5466543.757,364843.572,280.352,P
5,5466542.956,364843.421,280.299,P
6,5466542.122,364843.282,280.137,P
7,5466541.242,364843.18,279.985,P
8,5466540.328,364843.022,279.96,P
9,5466539.55,364842.817,279.769,P
10,5466538.268,364842.972,279.727,P
11,5466533.85,364841.097,279.648,M
12,5466532.257,364840.146,280.138,P
13,5466531.145,364840.387,280.171,P
14,5466528.837,364841.221,279.94,P
15,5466527.713,364841.794,279.785,P
16,5466526.511,364841.933,279.602,P
17,5466524.987,364842.36,279.268,P
18,5466523.908,364842.529,279.133,P
19,5466522.783,364843.18,278.574,P
20,5466521.627,364843.522,278.392,P
21,5466520.545,364843.817,278.173,P
22,5466519.575,364844.059,277.678,P
23,5466518.334,364844.49,277.365,P
24,5466517.028,364844.724,276.814,P
25,5466515.971,364844.811,276.406,P
26,5466514.798,364844.994,275.976,P
27,5466513.786,364845.202,275.73,P
28,5466512.103,364845.545,275.092,P
29,5466510.917,364845.89,274.688,P
30,5466509.633,364846.125,274.414,P
31,5466508.361,364846.459,273.826,P
32,5466507.514,364846.528,273.245,P
33,5466506.408,364846.786,272.949,P
34,5466505.508,364847.054,272.79,P
35,5466503.972,364847.46,272.49,P
