Point,Northing,Easting,HAE,Code
1,5466590,364653.789,284.143,P
2,5466588.551,364653.901,283.749,P
3,5466587.618,364654.057,283.593,P
4,5466586.754,364653.735,283.216,P
5,5466580.583,364651.784,280.571,P
6,5466579.789,364651.158,280.095,P
7,5466579.154,364650.692,279.899,P
8,5466578.276,364650.432,279.757,P
9,5466577.706,364649.957,279.612,P
10,5466576.96,364649.677,279.441,P
11,5466576.577,364649.198,279.181,P
12,5466574.226,364647.209,279.476,M
13,5466571.143,364645.235,281.194,P
14,5466569.951,364645.084,281.34,P
15,5466568.603,364644.968,281.238,P
16,5466567.859,364645.048,281.093,P
17,5466566.652,364644.58,280.793,P
18,5466562.547,364643.076,280.173,P
19,5466561.158,364643.084,279.583,P
20,5466559.137,364643.085,279.254,P
21,5466558.962,364643.614,279.161,P
22,5466557.831,364644.508,278.624,P
23,5466556.509,364644.991,278.09,P
24,5466555.584,364645.484,277.832,P
25,5466554.659,364645.325,277.454,P
26,5466553.458,364645.408,277.081,P
27,5466552.584,364645.81,276.736,P
28,5466550.755,364645.629,276.063,P
29,5466549.437,364645.849,275.566,P
30,5466548.267,364645.92,275.202,P
