FID,Point,Northing,Easting,HAE,Code
0,24,5486305.366299999900000,346973.629299999970000,577.901799999999980,CLMID
1,52,5486308.514499999600000,346965.954800000010000,577.302699999999960,CLEXMID
2,53,5486307.898099999900000,346966.905399999990000,577.625400000000010,CLEXMID
3,54,5486307.423800000000000,346968.885899999990000,577.778599999999980,CLEXMID
4,55,5486307.015800000200000,346969.727799999990000,577.887600000000020,CLEXMID
5,56,5486306.454300000300000,346971.302000000030000,578.006600000000050,CLEXMID
6,57,5486306.115600000100000,346972.114400000020000,578.078200000000040,CLEXMID
7,58,5486306.014999999700000,346973.124799999990000,577.851599999999960,CLEXMID
