FID,Point,Northing,Easting,HAE,Code
0,46,5486223.372000000400000,346960.470600000000000,598.053999999999970,JM1MID
1,47,5486221.759999999800000,346965.841100000020000,597.786399999999960,JM1MID
2,48,5486222.036000000300000,346964.874100000020000,597.714299999999980,JM1MID
3,49,5486222.270999999700000,346963.544799999970000,597.793499999999990,JM1MID
4,50,5486223.532999999800000,346959.358799999990000,597.935500000000050,JM1MID
5,51,5486223.763000000300000,346957.557700000000000,598.086599999999980,JM1MID
6,52,5486223.939000000200000,346956.555200000000000,597.987100000000050,JM1MID
7,53,5486224.949000000000000,346953.294700000030000,598.014699999999950,JM1MID
