FID,Point,Northing,Easting,HAE,Code
0,1624,5466567.667999999600000,364772.781000000020000,285.901999999999990,IF7C1MID
1,1627,5466566.513000000300000,364752.902000000000000,280.425999999999990,TH6C1MID
2,1629,5466570.441999999800000,364732.952999999980000,284.264000000000010,IF6C1MID
3,2017,5466583.716000000000000,364671.159999999970000,285.475000000000020,IF5C1MID
4,2152,5466570.500000000000000,364736.079000000030000,283.610999999999990,IF6C1MID
5,2231,5466566.205000000100000,364752.777999999990000,280.620999999999980,TH6C1MID
6,2288,5466567.303999999500000,364772.487000000020000,285.913000000000010,IF7C1MID
7,2339,5466549.902999999900000,364843.353000000000000,279.637999999999980,IF8C1MID
26,5,5466537.621799999800000,364890.599200000000000,280.760899999999990,TH9C1MID
