FID,Point,Northing,Easting,HAE,Code
0,85,5486106.205199999700000,346780.174200000010000,567.146100000000050,KPMID
1,105,5486098.547600000200000,346787.444399999980000,567.408199999999970,KPMID
2,106,5486099.723399999600000,346786.500200000010000,567.347899999999980,KPMID
3,107,5486100.843299999800000,346785.128900000010000,567.343100000000050,KPMID
4,108,5486103.362400000000000,346782.618299999970000,567.174600000000050,KPMID
5,109,5486104.999200000400000,346781.044600000020000,567.036799999999970,KPMID
6,110,5486106.938099999900000,346779.276499999980000,567.374699999999960,KPMID
7,111,5486107.729600000200000,346777.958500000010000,567.351900000000000,KPMID
